,0,1,prob_ratio
set up,0.000711625457139976,0.00047869400431647144,1.4865978072069401
strike in,0.000711625457139976,0.00047869400431647144,1.4865978072069401
that a,0.0010291486269924587,0.000692543559509397,1.4860417267059927
there is no,0.0006369141230570388,0.0004293441069642579,1.4834584025397155
allowed to,0.0008050146247436468,0.000544493867452756,1.4784640798796425
how the,0.0007303032906607101,0.0004951439701005427,1.4749312013481988
two year,0.0008236924582643814,0.0005609438332368272,1.4684045165652497
nuclear reactor,0.0005808806224948357,0.0003964441753961157,1.4652267798219925
after being,0.0013279939633242064,0.0009063931147023222,1.465141274556511
said the,0.0007676589577021783,0.0005280439016686852,1.4537786636230043
people are,0.0010291486269924587,0.0007089935252934675,1.4515628003323053
nuclear weapon,0.00086104812530585,0.0005938437648049698,1.449957339517803
say no,0.0005435249554533674,0.00037999420961204444,1.4303506256273746
30 year,0.0005435249554533674,0.00037999420961204444,1.4303506256273746
report that,0.0005435249554533674,0.00037999420961204444,1.4303506256273746
ha no,0.0005435249554533674,0.00037999420961204444,1.4303506256273746
sex abuse,0.0007303032906607101,0.0005115939358846136,1.4275057607903798
if the,0.0009170816258680525,0.0006431936621571832,1.4258250350171155
in africa,0.0007489811241814444,0.0005280439016686852,1.4184069199825426
new york,0.0007489811241814444,0.0005280439016686852,1.4184069199825426
the ground,0.0007489811241814444,0.0005280439016686852,1.4184069199825426
year the,0.0006555919565777732,0.00046224403853240036,1.4182810418912961
away from,0.0006555919565777732,0.00046224403853240036,1.4182810418912961
the poor,0.0005622027889741019,0.0003964441753961157,1.4181133785415436
to be the,0.0005622027889741019,0.0003964441753961157,1.4181133785415436
gaza strip,0.0005622027889741019,0.0003964441753961157,1.4181133785415436
china to,0.00086104812530585,0.0006102937305890406,1.410874931444548
fossil fuel,0.0007676589577021783,0.000544493867452756,1.4098578580754826
pirate party,0.0006742697900985076,0.00047869400431647144,1.4085611769073636
leader of,0.0008797259588265841,0.0006267436963731121,1.4036454836601453
had been,0.0008984037923473184,0.0006431936621571832,1.3967858286012886
would have,0.0005995584560155706,0.0004293441069642579,1.3964520446194986
the largest,0.0008050146247436468,0.0005773937990208986,1.394221112365132
convicted of,0.000711625457139976,0.0005115939358846136,1.390996662048938
by police,0.000711625457139976,0.0005115939358846136,1.390996662048938
prison for,0.0009170816258680525,0.0006596436279412543,1.3902683009767884
death in,0.0011225377945961296,0.0008076933199978947,1.3898069561836361
in iran,0.0013279939633242064,0.000955743012054536,1.3894885409305293
if it,0.0007303032906607101,0.0005280439016686852,1.3830351763420803
link to,0.0005248471219326333,0.00037999420961204444,1.3811976831659531
time to,0.0005248471219326333,0.00037999420961204444,1.3811976831659531
to join,0.0010851821275546618,0.0007912433542138236,1.3714897215571493
for all,0.0005435249554533674,0.0003964441753961157,1.3709999772610932
war with,0.0005435249554533674,0.0003964441753961157,1.3709999772610932
to hold,0.0005435249554533674,0.0003964441753961157,1.3709999772610932
cost of,0.0005435249554533674,0.0003964441753961157,1.3709999772610932
people who,0.0006555919565777732,0.00047869400431647144,1.369542861757575
in russia,0.0015521279655730186,0.0011366926356793188,1.3654772775451511
of them,0.0007863367912229134,0.0005773937990208986,1.3618725946768473
have the,0.0006742697900985076,0.0004951439701005427,1.3617651245184144
a million,0.0005622027889741019,0.00041289414118018676,1.3616148375637933
hong kong,0.0014027052974071434,0.0010379928409748919,1.3513631713391303
world bank,0.000711625457139976,0.0005280439016686852,1.3476634327016181
a young,0.000711625457139976,0.0005280439016686852,1.3476634327016181
suicide bomber,0.0009731151264302556,0.000725443491077539,1.3414072059352784
able to,0.0009731151264302556,0.000725443491077539,1.3414072059352784
power plant,0.0007303032906607101,0.000544493867452756,1.3412516362713236
in saudi,0.0007303032906607101,0.000544493867452756,1.3412516362713236
