                              0         1  prob_ratio
dalai lama             0.000510  0.000388    1.312594
a police               0.000510  0.000388    1.312594
south korean           0.000900  0.000687    1.310407
the israeli            0.001037  0.000793    1.308580
to kill                0.001311  0.001003    1.306076
the poor               0.000529  0.000406    1.303886
a many                 0.000529  0.000406    1.303886
of this                0.000529  0.000406    1.303886
when the               0.000529  0.000406    1.303886
because they           0.000529  0.000406    1.303886
ha no                  0.000529  0.000406    1.303886
u and                  0.001740  0.001337    1.301293
year of                0.001076  0.000828    1.300208
can not                0.001213  0.000933    1.299808
is being               0.000959  0.000740    1.296228
a massive              0.000549  0.000424    1.295900
home in                0.000549  0.000424    1.295900
tax on                 0.000549  0.000424    1.295900
which ha               0.000412  0.000318    1.295645
next year              0.000412  0.000318    1.295645
for u                  0.000412  0.000318    1.295645
are not                0.001115  0.000863    1.292519
to do                  0.000979  0.000757    1.291941
way to                 0.000842  0.000652    1.291176
to help                0.001975  0.001531    1.290076
there is               0.001272  0.000986    1.289734
catholic church        0.000861  0.000670    1.286459
war ii                 0.000432  0.000336    1.286000
in what                0.000432  0.000336    1.286000
story of               0.000432  0.000336    1.286000
at an                  0.000432  0.000336    1.286000
to jail                0.000432  0.000336    1.286000
he wa                  0.001877  0.001460    1.285300
a group                0.000881  0.000687    1.281982
have the               0.000588  0.000459    1.281764
in their               0.001037  0.000810    1.280194
power plant            0.000744  0.000582    1.279320
the best               0.000451  0.000353    1.277315
killed a               0.000451  0.000353    1.277315
link to                0.000451  0.000353    1.277315
be the                 0.001213  0.000951    1.275782
the border             0.000607  0.000476    1.275479
to see                 0.000607  0.000476    1.275479
living in              0.000607  0.000476    1.275479
south africa           0.001369  0.001074    1.275143
world war              0.000920  0.000722    1.273683
that would             0.000939  0.000740    1.269829
able to                0.000939  0.000740    1.269829
minister say           0.000471  0.000371    1.269453
it will                0.001428  0.001126    1.267481
president of           0.000647  0.000511    1.264204
killed by              0.001135  0.000898    1.263681
the last               0.001467  0.001162    1.262760
go to                  0.000979  0.000775    1.262645
report that            0.000490  0.000388    1.262303
a law                  0.000490  0.000388    1.262303
it first               0.000490  0.000388    1.262303
fossil fuel            0.000666  0.000529    1.259128
million of             0.001174  0.000933    1.257946
hit by                 0.000842  0.000670    1.257287
he said                0.000510  0.000406    1.255772
wave of                0.000510  0.000406    1.255772
all the                0.000861  0.000687    1.253557
that it                0.001584  0.001267    1.250166
fire on                0.000705  0.000564    1.249926
vow to                 0.000900  0.000722    1.246641
of human               0.000725  0.000582    1.245742
banned from            0.000744  0.000599    1.241803
rupert murdoch         0.000568  0.000459    1.239181
would have             0.000568  0.000459    1.239181
the country            0.005881  0.004747    1.238992
to go                  0.001154  0.000933    1.237015
to allow               0.000783  0.000634    1.234580
the biggest            0.000783  0.000634    1.234580
world most             0.000588  0.000476    1.234467
life in                0.000588  0.000476    1.234467
arrest of              0.000393  0.000318    1.234240
prison for             0.000803  0.000652    1.231261
on tuesday             0.001213  0.000986    1.230300
how the                0.000607  0.000494    1.230088
they will              0.000607  0.000494    1.230088
official said          0.000607  0.000494    1.230088
kim jong               0.000607  0.000494    1.230088
case of                0.000822  0.000670    1.228116
brink of               0.000412  0.000336    1.227810
the coast              0.000412  0.000336    1.227810
in italy               0.000412  0.000336    1.227810
to run                 0.000412  0.000336    1.227810
support for            0.000627  0.000511    1.226011
court of               0.000627  0.000511    1.226011
a young                0.000627  0.000511    1.226011
to become              0.000842  0.000687    1.225131
on trial               0.000432  0.000353    1.222020
clash with             0.000432  0.000353    1.222020
of all                 0.001096  0.000898    1.220181
bbc news               0.002424  0.001988    1.219527
world is               0.000451  0.000371    1.216779
in paris               0.000451  0.000371    1.216779
death toll             0.000686  0.000564    1.215302
school in              0.000471  0.000388    1.212012
oil spill              0.000725  0.000599    1.209210
country to             0.000725  0.000599    1.209210
to get                 0.001467  0.001214    1.207936
court in               0.000490  0.000406    1.207658
china to               0.000744  0.000617    1.206424
pirate bay             0.000998  0.000828    1.205819
base in                0.000510  0.000424    1.203665
during a               0.000510  0.000424    1.203665
world news             0.000510  0.000424    1.203665
called for             0.000510  0.000424    1.203665
out in                 0.000510  0.000424    1.203665
in ukraine             0.001037  0.000863    1.201974
across the             0.001037  0.000863    1.201974
said that              0.000529  0.000441    1.199990
a terrorist            0.000529  0.000441    1.199990
refusing to            0.000529  0.000441    1.199990
