                                 0         1  prob_ratio
living in                 0.000637  0.000512    1.244960
can not                   0.001291  0.001038    1.243398
the border                0.000656  0.000528    1.241548
the country               0.006166  0.004970    1.240670
killed by                 0.001179  0.000956    1.233147
vladimir putin            0.001459  0.001186    1.229921
to remove                 0.000730  0.000594    1.229790
the military              0.000487  0.000396    1.229660
not only                  0.000487  0.000396    1.229660
u and                     0.001720  0.001400    1.228829
he wa                     0.001982  0.001614    1.228027
world first               0.000506  0.000413    1.225906
a muslim                  0.000506  0.000413    1.225906
aid to                    0.000525  0.000429    1.222439
the israeli               0.001085  0.000890    1.219384
court in                  0.000544  0.000446    1.219229
one of the                0.002729  0.002239    1.218859
in ukraine                0.001104  0.000906    1.217860
year of                   0.001104  0.000906    1.217860
during a                  0.000562  0.000462    1.216247
the region                0.000562  0.000462    1.216247
that it                   0.001702  0.001400    1.215487
the way                   0.000581  0.000479    1.213470
and is                    0.000880  0.000725    1.212673
uk government             0.000880  0.000725    1.212673
country in                0.000898  0.000742    1.210961
year old                  0.001814  0.001499    1.210215
to get                    0.001515  0.001252    1.210034
world war                 0.000936  0.000775    1.207754
be the                    0.001253  0.001038    1.207410
in canada                 0.001010  0.000841    1.202092
level of                  0.000674  0.000561    1.202027
up the                    0.000693  0.000577    1.200130
pirate bay                0.001048  0.000873    1.199582
is being                  0.001104  0.000923    1.196151
a man                     0.001104  0.000923    1.196151
oil spill                 0.000786  0.000660    1.192063
under the                 0.000786  0.000660    1.192063
year ago                  0.001272  0.001071    1.187757
if you                    0.000936  0.000791    1.182644
and china                 0.000469  0.000396    1.182546
south korean              0.000954  0.000808    1.181683
to become                 0.000954  0.000808    1.181683
to jail                   0.000487  0.000413    1.180669
it first                  0.000487  0.000413    1.180669
base in                   0.000506  0.000429    1.178936
the netherlands           0.000506  0.000429    1.178936
crime against             0.000506  0.000429    1.178936
amnesty international     0.000506  0.000429    1.178936
the last                  0.001552  0.001318    1.177959
a week                    0.000525  0.000446    1.177331
tax on                    0.000525  0.000446    1.177331
in prison for             0.000562  0.000479    1.174451
of all                    0.001160  0.000989    1.173218
of new                    0.000581  0.000495    1.173155
bbc news                  0.002393  0.002041    1.172030
up a                      0.000600  0.000512    1.171942
about to                  0.000618  0.000528    1.170805
a single                  0.000618  0.000528    1.170805
will have                 0.000618  0.000528    1.170805
to see                    0.000656  0.000561    1.168730
involved in               0.000693  0.000594    1.166885
new law                   0.000712  0.000610    1.166038
to protect                0.001477  0.001268    1.164886
in the u                  0.000768  0.000660    1.163748
banned from               0.000786  0.000676    1.163059
china is                  0.000824  0.000709    1.161777
we have                   0.000842  0.000725    1.161180
catholic church           0.000880  0.000758    1.160063
vow to                    0.000898  0.000775    1.159540
could be                  0.001888  0.001630    1.158348
ahead of                  0.000954  0.000824    1.158096
go to                     0.000954  0.000824    1.158096
to keep                   0.000992  0.000857    1.157226
to go                     0.001123  0.000972    1.154645
not to                    0.001403  0.001219    1.150756
to ban                    0.001440  0.001252    1.150353
the world                 0.010032  0.008737    1.148260
in pakistan               0.001720  0.001499    1.147897
to give                   0.001010  0.000890    1.135433
to take                   0.001683  0.001482    1.135433
to their                  0.000693  0.000610    1.135433
u government              0.000674  0.000594    1.135433
linked to                 0.001010  0.000890    1.135433
a much                    0.000562  0.000495    1.135433
that killed               0.000693  0.000610    1.135433
with an                   0.000562  0.000495    1.135433
a group                   0.000861  0.000758    1.135433
a group of                0.000674  0.000594    1.135433
a decade                  0.000469  0.000413    1.135433
release of                0.000469  0.000413    1.135433
said that                 0.000562  0.000495    1.135433
russia to                 0.000730  0.000643    1.135433
who are                   0.000450  0.000396    1.135433
what it                   0.000525  0.000462    1.135433
pay for                   0.000544  0.000479    1.135433
home in                   0.000525  0.000462    1.135433
there are                 0.000992  0.000873    1.135433
majority of               0.000487  0.000429    1.135433
member of the             0.000824  0.000725    1.135433
israel is                 0.000712  0.000627    1.135433
nuclear power             0.000712  0.000627    1.135433
you are                   0.000525  0.000462    1.135433
believed to               0.000506  0.000446    1.135433
a human                   0.000506  0.000446    1.135433
a series of               0.000506  0.000446    1.135433
for u                     0.000487  0.000429    1.135433
a series                  0.000506  0.000446    1.135433
between the               0.000487  0.000429    1.135433
be able to                0.000525  0.000462    1.135433
a military                0.000544  0.000479    1.135433
a law                     0.000506  0.000446    1.135433
be able                   0.000525  0.000462    1.135433
end to                    0.000730  0.000643    1.135433
a chinese                 0.000525  0.000462    1.135433
ha been                   0.006819  0.006022    1.132332
up to                     0.003046  0.002699    1.128514
north korean              0.001944  0.001729    1.124630
for a                     0.003737  0.003325    1.124197
no longer                 0.001403  0.001252    1.120513
of u                      0.001216  0.001087    1.118255
million of                0.001179  0.001054    1.117720
into the                  0.002075  0.001860    1.115355
in their                  0.001010  0.000906    1.114826
percent of                0.001010  0.000906    1.114826
shot dead                 0.000973  0.000873    1.114050
pope francis              0.000973  0.000873    1.114050
is a                      0.003793  0.003407    1.113503
in jail                   0.000936  0.000841    1.113213
the british               0.000880  0.000791    1.111827
and that                  0.000880  0.000791    1.111827
accused of                0.002542  0.002288    1.110945
the people                0.000824  0.000742    1.110257
after a                   0.001627  0.001466    1.109946
say they                  0.000786  0.000709    1.109089
the street                0.001515  0.001367    1.108106
with a                    0.002972  0.002683    1.107587
all of                    0.000693  0.000627    1.105632
in brazil                 0.000674  0.000610    1.104828
in the past               0.000674  0.000610    1.104828
the public                0.000656  0.000594    1.103981
on friday                 0.000637  0.000577    1.103084
wa a                      0.001253  0.001137    1.102569
access to                 0.001253  0.001137    1.102569
the nation                0.000618  0.000561    1.102136
day in                    0.000618  0.000561    1.102136
how to                    0.000618  0.000561    1.102136
official said             0.000600  0.000544    1.101130
is on                     0.000600  0.000544    1.101130
sign of                   0.000600  0.000544    1.101130
to attack                 0.000562  0.000512    1.098924
claim to                  0.000544  0.000495    1.097711
the future                0.000544  0.000495    1.097711
in syria                  0.002654  0.002420    1.096839
wave of                   0.000525  0.000479    1.096415
said on                   0.001048  0.000956    1.096347
because they              0.000506  0.000462    1.095026
say the                   0.001496  0.001367    1.094443
the cia                   0.000487  0.000446    1.093535
one of                    0.004354  0.003983    1.093224
a senior                  0.000469  0.000429    1.091930
out of the                0.000469  0.000429    1.091930
on a                      0.003158  0.002897    1.090299
state and                 0.000450  0.000413    1.090197
they are                  0.002075  0.001910    1.086534
than the                  0.000824  0.000758    1.086173
in japan                  0.000786  0.000725    1.083939
country to                0.000768  0.000709    1.082745
to send                   0.000749  0.000693    1.081493
in the                    0.026468  0.024496    1.080533
freedom of                0.000730  0.000676    1.080181
an israeli                0.000730  0.000676    1.080181
to avoid                  0.000730  0.000676    1.080181
of the world              0.001814  0.001680    1.079829
of a                      0.007884  0.007305    1.079185
law that                  0.000712  0.000660    1.078803
the european union        0.000712  0.000660    1.078803
across the                0.001067  0.000989    1.078756
in israel                 0.001048  0.000972    1.077797
president of              0.000674  0.000627    1.075830
the un                    0.001347  0.001252    1.075752
climate change            0.002019  0.001877    1.075726
a new                     0.003906  0.003637    1.073808
the west                  0.001291  0.001202    1.073303
barack obama              0.000637  0.000594    1.072528
u drone                   0.000637  0.000594    1.072528
in london                 0.000954  0.000890    1.072470
to prevent                0.000936  0.000873    1.071284
such a                    0.000936  0.000873    1.071284
to it                     0.000618  0.000577    1.070736
behind the                0.000618  0.000577    1.070736
a a                       0.004148  0.003884    1.068105
a terrorist               0.000581  0.000544    1.066827
those who                 0.000581  0.000544    1.066827
doe not                   0.000861  0.000808    1.066058
of war                    0.000842  0.000791    1.064616
prime minister            0.004204  0.003950    1.064498
by the                    0.005605  0.005266    1.064491
ready to                  0.001085  0.001022    1.062297
what is                   0.000525  0.000495    1.059989
official say              0.001048  0.000989    1.059863
on it                     0.001029  0.000972    1.058585
shut down                 0.000768  0.000725    1.058193
war in                    0.000768  0.000725    1.058193
against the               0.002038  0.001926    1.057863
russia ha                 0.000506  0.000479    1.057396
crackdown on              0.000506  0.000479    1.057396
from the                  0.005512  0.005216    1.056658
some of                   0.000749  0.000709    1.056401
more than                 0.005867  0.005562    1.054834
and the                   0.005120  0.004854    1.054633
out to                    0.000487  0.000462    1.054619
in order                  0.000730  0.000693    1.054523
can be                    0.000973  0.000923    1.054475
try to                    0.001216  0.001153    1.054446
are being                 0.001197  0.001137    1.053274
with the                  0.003831  0.003637    1.053267
the latest                0.000712  0.000676    1.052555
last year                 0.001179  0.001120    1.052068
