                              0         1  prob_ratio
with iran              0.000565  0.000191    2.958287
there wa               0.000548  0.000220    2.491198
a french               0.000482  0.000205    2.345476
child in               0.000780  0.000337    2.317214
would not              0.000432  0.000191    2.264260
for insulting          0.000449  0.000205    2.184275
bin laden              0.001078  0.000512    2.107808
a war                  0.000730  0.000351    2.079595
place in               0.000399  0.000205    1.942474
that is                0.001078  0.000555    1.941839
the gaza               0.000614  0.000322    1.907826
the german             0.000714  0.000380    1.876696
why the                0.000548  0.000293    1.871497
minister of            0.000465  0.000249    1.867529
the former             0.000565  0.000307    1.836661
military base          0.000482  0.000264    1.827139
not just               0.000399  0.000220    1.813833
held in                0.000399  0.000220    1.813833
without a              0.000399  0.000220    1.813833
pledge to              0.000366  0.000205    1.781272
the great              0.000598  0.000337    1.776039
india to               0.000465  0.000264    1.764351
suspected of           0.000565  0.000322    1.753555
been arrested          0.000614  0.000351    1.749500
investigation into     0.000614  0.000351    1.749500
force in               0.000614  0.000351    1.749500
a member               0.000383  0.000220    1.738570
march in               0.000383  0.000220    1.738570
said to                0.000432  0.000249    1.734609
police and             0.000399  0.000235    1.701172
up in                  0.001012  0.000599    1.689494
after he               0.000515  0.000307    1.675078
footage of             0.000416  0.000249    1.668149
evidence that          0.000416  0.000249    1.668149
launched a             0.000416  0.000249    1.668149
full of                0.000366  0.000220    1.663307
half a                 0.000366  0.000220    1.663307
anniversary of         0.000366  0.000220    1.663307
by israeli             0.000366  0.000220    1.663307
on monday              0.001260  0.000759    1.659985
threatens to           0.001012  0.000614    1.649363
in sweden              0.000482  0.000293    1.645334
the iranian            0.000432  0.000264    1.638774
the face               0.000432  0.000264    1.638774
in turkey              0.000763  0.000468    1.632124
and even               0.000383  0.000235    1.630584
the attack             0.000383  0.000235    1.630584
time the               0.000614  0.000380    1.615439
osama bin              0.000614  0.000380    1.615439
worth of               0.000449  0.000278    1.612475
the time               0.000449  0.000278    1.612475
central bank           0.000449  0.000278    1.612475
in public              0.000565  0.000351    1.608031
i dont                 0.000399  0.000249    1.601689
the real               0.000465  0.000293    1.588793
civil war              0.000648  0.000409    1.581349
sexual abuse           0.000532  0.000337    1.579248
to gaza                0.000416  0.000264    1.575986
and more               0.000548  0.000351    1.560875
jail for               0.000548  0.000351    1.560875
